Name,House,Pure Blood/Half Blood/Muggle-Born
Hermoine Granger,Gryffindor,Muggle-born
Harry Potter,Gryffindor,Half Blood
Severus Snape,Slytherin,Half Blood
Ron Weasley,Gryffindor,Pure Blood
Lord Voldemort,Slytherin,Half Blood
Draco Malfoy,Slytherin,Pure Blood
Albus Dumbledore,Gryffindor,Half Blood
Rubeus Hagrid,Gryffindor,Half Blood
Ginny Weasley,Gryffindor,Pure Blood
Neville Longbottom,Gryffindor,Pure Blood
Sirius Black,Slytherin,Pure Blood
Luna Lovegood,Ravenclaw,Pure Blood
Cedric Diggory,Hufflepuff,Pure Blood
Fred Weasley,Gryffindor,Pure Blood
George Weasley,Gryffindor,Pure Blood
Minerva McGonagall,Gryffindor,Half Blood
Cho Chang,Ravenclaw,Pure Blood
Lucius Malfoy,Slytherin,Pure Blood
Hannah Abbott,Hufflepuff,Muggle-born
Dean Thomas,Gryffindor,Half Blood
Nymphadora Tonks,Hufflepuff,Half Blood
